,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct,Confirmed_change_7day
224,Armenia,2386.0,35.0,1035.0,1316.0,2020-05-03,45,113.0,0.04971403431588217,91.42857142857143
225,Azerbaijan,1932.0,25.0,1441.0,466.0,2020-05-03,38,38.0,0.020063357972544882,41.0
226,Georgia,589.0,9.0,223.0,357.0,2020-05-03,34,7.0,0.012027491408934665,14.714285714285714
227,Kazakhstan,3920.0,27.0,1084.0,2809.0,2020-05-03,38,63.0,0.016333938294010864,171.85714285714286
228,Kyrgyzstan,795.0,10.0,564.0,221.0,2020-05-03,33,26.0,0.033810143042912966,16.142857142857142
229,Tajikistan,128.0,2.0,0.0,126.0,2020-05-03,0,52.0,0.6842105263157894,
230,Uzbekistan,2149.0,10.0,1319.0,820.0,2020-05-03,36,31.0,0.014636449480642133,40.0
231,Armenia,2507.0,39.0,1071.0,1397.0,2020-05-04,46,121.0,0.050712489522212856,99.85714285714286
232,Azerbaijan,1984.0,26.0,1480.0,478.0,2020-05-04,39,52.0,0.0269151138716357,43.714285714285715
233,Georgia,593.0,9.0,223.0,361.0,2020-05-04,35,4.0,0.00679117147707986,13.714285714285714
234,Kazakhstan,4049.0,29.0,1173.0,2847.0,2020-05-04,39,129.0,0.0329081632653061,173.42857142857142
235,Kyrgyzstan,830.0,10.0,575.0,245.0,2020-05-04,34,35.0,0.04402515723270439,19.285714285714285
236,Tajikistan,230.0,3.0,0.0,227.0,2020-05-04,1,102.0,0.796875,
237,Uzbekistan,2189.0,10.0,1405.0,774.0,2020-05-04,37,40.0,0.018613308515588622,40.714285714285715
238,Armenia,2619.0,40.0,1111.0,1468.0,2020-05-05,47,112.0,0.04467491025129644,107.42857142857143
239,Azerbaijan,2060.0,26.0,1508.0,526.0,2020-05-05,40,76.0,0.03830645161290325,49.0
240,Georgia,604.0,9.0,240.0,355.0,2020-05-05,36,11.0,0.018549747048903775,13.285714285714286
241,Kazakhstan,4205.0,29.0,1279.0,2897.0,2020-05-05,40,156.0,0.038528031612743874,168.28571428571428
242,Kyrgyzstan,843.0,11.0,600.0,232.0,2020-05-05,35,13.0,0.015662650602409567,19.285714285714285
