,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct
115,Kyrgyzstan,44.0,0.0,0.0,44.0,2020-03-26,-5,0.0,0.0
116,Uzbekistan,75.0,0.0,0.0,75.0,2020-03-26,-2,15.0,0.25
117,Armenia,329.0,1.0,28.0,300.0,2020-03-27,8,39.0,0.1344827586206896
118,Azerbaijan,165.0,3.0,15.0,147.0,2020-03-27,1,43.0,0.3524590163934427
119,Georgia,83.0,0.0,14.0,69.0,2020-03-27,-3,4.0,0.05063291139240511
120,Kazakhstan,150.0,1.0,3.0,146.0,2020-03-27,1,39.0,0.3513513513513513
121,Kyrgyzstan,58.0,0.0,0.0,58.0,2020-03-27,-4,14.0,0.3181818181818181
122,Uzbekistan,88.0,1.0,5.0,82.0,2020-03-27,-1,13.0,0.17333333333333334
123,Armenia,407.0,1.0,30.0,376.0,2020-03-28,9,78.0,0.237082066869301
124,Azerbaijan,182.0,4.0,15.0,163.0,2020-03-28,2,17.0,0.10303030303030303
125,Georgia,90.0,0.0,14.0,76.0,2020-03-28,-2,7.0,0.0843373493975903
126,Kazakhstan,228.0,1.0,16.0,211.0,2020-03-28,2,78.0,0.52
127,Kyrgyzstan,58.0,0.0,0.0,58.0,2020-03-28,-3,0.0,0.0
128,Uzbekistan,104.0,2.0,5.0,97.0,2020-03-28,0,16.0,0.18181818181818188
129,Armenia,424.0,3.0,30.0,391.0,2020-03-29,10,17.0,0.041769041769041726
130,Azerbaijan,209.0,4.0,15.0,190.0,2020-03-29,3,27.0,0.14835164835164827
131,Georgia,91.0,0.0,18.0,73.0,2020-03-29,-1,1.0,0.011111111111111072
132,Kazakhstan,284.0,1.0,20.0,263.0,2020-03-29,3,56.0,0.2456140350877194
133,Kyrgyzstan,84.0,0.0,0.0,84.0,2020-03-29,-2,26.0,0.4482758620689655
134,Uzbekistan,144.0,2.0,7.0,135.0,2020-03-29,1,40.0,0.3846153846153846
