,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct,Confirmed_change_7day
94,Georgia,242.0,3.0,60.0,179.0,2020-04-11,12,8.0,0.03418803418803429,11.428571428571429
95,Kazakhstan,865.0,10.0,81.0,774.0,2020-04-11,16,53.0,0.06527093596059119,47.714285714285715
96,Kyrgyzstan,339.0,5.0,44.0,290.0,2020-04-11,11,41.0,0.13758389261744974,27.857142857142858
97,Uzbekistan,767.0,4.0,42.0,721.0,2020-04-11,14,143.0,0.22916666666666674,71.57142857142857
98,Armenia,1013.0,13.0,197.0,803.0,2020-04-12,24,46.0,0.04756980351602902,27.285714285714285
99,Azerbaijan,1098.0,11.0,250.0,837.0,2020-04-12,17,40.0,0.037807183364839236,73.42857142857143
100,Georgia,257.0,3.0,67.0,187.0,2020-04-12,13,15.0,0.06198347107438007,11.857142857142858
101,Kazakhstan,951.0,10.0,99.0,842.0,2020-04-12,17,86.0,0.09942196531791914,52.42857142857143
102,Kyrgyzstan,377.0,5.0,54.0,318.0,2020-04-12,12,38.0,0.11209439528023601,32.857142857142854
103,Uzbekistan,865.0,4.0,66.0,795.0,2020-04-12,15,98.0,0.1277705345501956,74.71428571428571
104,Armenia,1039.0,14.0,211.0,814.0,2020-04-13,25,26.0,0.02566633761105619,29.428571428571427
105,Azerbaijan,1148.0,12.0,289.0,847.0,2020-04-13,18,50.0,0.04553734061930781,72.42857142857143
106,Georgia,272.0,3.0,68.0,201.0,2020-04-13,14,15.0,0.05836575875486383,12.0
107,Kazakhstan,1091.0,12.0,138.0,941.0,2020-04-13,18,140.0,0.1472134595162986,61.285714285714285
108,Kyrgyzstan,419.0,5.0,67.0,347.0,2020-04-13,13,42.0,0.1114058355437666,29.0
109,Uzbekistan,998.0,4.0,85.0,909.0,2020-04-13,16,133.0,0.153757225433526,77.28571428571429
110,Armenia,1067.0,16.0,265.0,786.0,2020-04-14,26,28.0,0.026948989412896918,30.571428571428573
111,Azerbaijan,1197.0,13.0,351.0,833.0,2020-04-14,19,49.0,0.04268292682926833,68.57142857142857
112,Georgia,300.0,3.0,69.0,228.0,2020-04-14,15,28.0,0.10294117647058831,14.857142857142858
113,Kazakhstan,1232.0,14.0,203.0,1015.0,2020-04-14,19,141.0,0.12923923006416138,76.42857142857143
114,Kyrgyzstan,430.0,5.0,71.0,354.0,2020-04-14,14,11.0,0.026252983293556076,28.857142857142858
115,Uzbekistan,1165.0,4.0,99.0,1062.0,2020-04-14,17,167.0,0.16733466933867724,92.14285714285714
116,Armenia,1111.0,17.0,297.0,797.0,2020-04-15,27,44.0,0.04123711340206193,32.857142857142854
117,Azerbaijan,1253.0,13.0,404.0,836.0,2020-04-15,20,56.0,0.04678362573099415,61.57142857142857
118,Georgia,306.0,3.0,71.0,232.0,2020-04-15,16,6.0,0.020000000000000018,13.571428571428571
119,Kazakhstan,1295.0,16.0,240.0,1039.0,2020-04-15,20,63.0,0.051136363636363535,81.14285714285714
120,Kyrgyzstan,449.0,5.0,78.0,366.0,2020-04-15,15,19.0,0.04418604651162794,25.571428571428573
121,Uzbekistan,1302.0,4.0,107.0,1191.0,2020-04-15,18,137.0,0.11759656652360517,108.14285714285714
122,Armenia,1159.0,18.0,358.0,783.0,2020-04-16,28,48.0,0.04320432043204314,34.0
123,Azerbaijan,1283.0,15.0,460.0,808.0,2020-04-16,21,30.0,0.023942537909018347,51.0
124,Georgia,348.0,3.0,76.0,269.0,2020-04-16,17,42.0,0.13725490196078427,18.571428571428573
125,Kazakhstan,1402.0,17.0,277.0,1108.0,2020-04-16,21,107.0,0.08262548262548264,88.71428571428571
126,Kyrgyzstan,466.0,5.0,91.0,370.0,2020-04-16,16,17.0,0.03786191536748329,26.571428571428573
127,Uzbekistan,1349.0,4.0,129.0,1216.0,2020-04-16,19,47.0,0.036098310291858615,109.57142857142857
128,Armenia,1201.0,19.0,402.0,780.0,2020-04-17,29,42.0,0.036238136324417525,37.714285714285715
129,Azerbaijan,1340.0,15.0,528.0,797.0,2020-04-17,22,57.0,0.044427123928292955,49.857142857142854
130,Georgia,370.0,3.0,79.0,288.0,2020-04-17,18,22.0,0.06321839080459779,19.428571428571427
131,Kazakhstan,1546.0,17.0,347.0,1182.0,2020-04-17,22,144.0,0.10271041369472189,104.85714285714286
132,Kyrgyzstan,489.0,5.0,114.0,370.0,2020-04-17,17,23.0,0.04935622317596566,27.285714285714285
133,Uzbekistan,1405.0,4.0,156.0,1245.0,2020-04-17,20,56.0,0.04151223128243142,111.57142857142857
134,Armenia,1248.0,20.0,523.0,705.0,2020-04-18,30,47.0,0.039134054954204744,40.142857142857146
135,Azerbaijan,1373.0,18.0,590.0,765.0,2020-04-18,23,33.0,0.02462686567164174,45.0
136,Georgia,388.0,4.0,86.0,298.0,2020-04-18,19,18.0,0.048648648648648596,20.857142857142858
137,Kazakhstan,1615.0,17.0,377.0,1221.0,2020-04-18,23,69.0,0.04463130659767134,107.14285714285714
138,Kyrgyzstan,506.0,5.0,130.0,371.0,2020-04-18,18,17.0,0.03476482617586907,23.857142857142858
139,Uzbekistan,1490.0,5.0,194.0,1291.0,2020-04-18,21,85.0,0.06049822064056931,103.28571428571429
140,Armenia,1291.0,20.0,545.0,726.0,2020-04-19,31,43.0,0.034455128205128194,39.714285714285715
141,Azerbaijan,1398.0,19.0,712.0,667.0,2020-04-19,24,25.0,0.018208302986161717,42.857142857142854
142,Georgia,394.0,4.0,93.0,297.0,2020-04-19,20,6.0,0.015463917525773141,19.571428571428573
143,Kazakhstan,1676.0,17.0,400.0,1259.0,2020-04-19,24,61.0,0.037770897832817285,103.57142857142857
144,Kyrgyzstan,554.0,5.0,133.0,416.0,2020-04-19,19,48.0,0.09486166007905128,25.285714285714285
145,Uzbekistan,1565.0,5.0,225.0,1335.0,2020-04-19,22,75.0,0.05033557046979875,100.0
146,Armenia,1339.0,22.0,580.0,737.0,2020-04-20,32,48.0,0.03718048024786991,42.857142857142854
147,Azerbaijan,1436.0,19.0,791.0,626.0,2020-04-20,25,38.0,0.027181688125894166,41.142857142857146
148,Georgia,402.0,4.0,95.0,303.0,2020-04-20,21,8.0,0.020304568527918843,18.571428571428573
149,Kazakhstan,1852.0,19.0,447.0,1386.0,2020-04-20,25,176.0,0.1050119331742243,108.71428571428571
150,Kyrgyzstan,568.0,7.0,201.0,360.0,2020-04-20,20,14.0,0.025270758122743597,21.285714285714285
151,Uzbekistan,1627.0,5.0,261.0,1361.0,2020-04-20,23,62.0,0.03961661341853029,89.85714285714286
152,Armenia,1401.0,24.0,609.0,768.0,2020-04-21,33,62.0,0.04630321135175497,47.714285714285715
153,Azerbaijan,1480.0,20.0,865.0,595.0,2020-04-21,26,44.0,0.03064066852367686,40.42857142857143
154,Georgia,408.0,4.0,97.0,307.0,2020-04-21,22,6.0,0.014925373134328401,15.428571428571429
155,Kazakhstan,1995.0,19.0,489.0,1487.0,2020-04-21,26,143.0,0.07721382289416856,109.0
156,Kyrgyzstan,590.0,7.0,216.0,367.0,2020-04-21,21,22.0,0.03873239436619724,22.857142857142858
157,Uzbekistan,1678.0,6.0,357.0,1315.0,2020-04-21,24,51.0,0.031346035648432746,73.28571428571429
